Rank,Title,Points,Author,Comments,Link
42,Show HN: Pizza Bot – An inbox for AI agents that work in the background,48,jd_,31,https://github.com/pizza-bot-app/pizza-bot
43,ZTE B860H: Getting Armbian into It,5,airhangerf15,0,https://pen.waltuh.cyou/yonle/zte-b860h-getting-armbian-into-it
44,"The CSS Zen Garden dream, finally shipped",145,yosito,99,https://josprague.com/blog/the-css-zen-garden-dream-finally-shipped/
45,Cartesian – AI 3D Modeling for Design,108,eustoria,78,https://www.formas.ai/cartesian
46,CSS-Tricks in Limbo,255,edent,118,https://vale.rocks/micros/20260915-0135
47,"A single firm is behind OpenAI, Anthropic, and Meta hacking scandals",625,yusufozkan,213,https://www.effort.news/irregular
48,Alternatives to MinIO for single-node local S3,258,rmoff,101,https://rmoff.net/2026/01/14/alternatives-to-minio-for-single-node-local-s3/
49,GEFS on OpenBSD: A Early Preview,116,sippingabonedry,65,https://marc.info/?l=openbsd-tech&m=178948744271633&w=2
50,Giving up on smart rings,108,lexandstuff,172,https://notesbylex.com/giving-up-on-smart-rings
51,Java 27,338,mkurz,351,https://mail.openjdk.org/archives/list/announce@openjdk.org/thread/ORGGLMN75HFEWP7YL3ZLGHLYHVIBJDYT/
52,OpenArm: An open-source 7DOF humanoid arm,209,Lwrless,55,https://github.com/enactic/OpenArm
53,Over 12% of links posted to Hacker News are Show HN projects now,83,oyster143,31,https://www.orangecrumbs.com/stories/show-hn
54,Ask HN: What are you working on? (September 2026),366,david927,1147,https://news.ycombinator.com/item?id=49686380
55,Archiving pirate radio station Kool FM,94,rdmuser,28,https://londonist.com/london/music/kool-fm-archives
56,Most people prefer traditional architecture,345,alihm,318,https://www.worksinprogress.news/p/do-people-prefer-traditional-architecture
57,America's Driver's License Breach Is a National Security Disaster,295,hn_acker,177,https://www.lawfaremedia.org/article/america%27s-drivers-licence-breach-is-a-national-security-disaster
58,Sony's First Computer – The SMC-70 from 1982 [video],70,ksymph,26,https://www.youtube.com/watch?v=cT2-7KkPkBc
59,How much of F-Droid is LLM generated?,136,_ZeD_,176,https://tintotint.eu/whacky-corner/f-droid_slop/
60,"Paul A. M. Dirac, Interview by Friedrich Hund (1982) [video]",56,emerongi,9,https://www.youtube.com/watch?v=xJzrU38pGWc
61,Ubuntu 26.10 completes transition to Rust-based coreutils,286,theanonymousone,309,https://www.omgubuntu.co.uk/2026/09/ubuntu-2610-rust-coreutils-complete
62,US confirms for first time it has deployed space weapons,466,harporoeder,334,https://www.bbc.com/news/articles/ck790xg41ygro
63,"Show HN: Pull every comment out of a Google Sheet, in the browser",6,bsunter2,1,https://bensunter.com/commentpulse.html
64,"AI 'kill switch' may need to be mandatory, Anthropic co-founder tells BBC",57,Betelbuddy,116,https://www.bbc.com/news/articles/cqgk5e2j0gg8o
65,XLS: Accelerated HW Synthesis,25,Bluestein,3,https://google.github.io/xls/
66,The madman's guide to stamp collecting,12,centrosphere,3,https://www.wsj.com/arts-culture/books/the-madmans-guide-to-stamp-collecting-review-sticking-to-what-they-know-e96da0e9?st=dT9wdV&reflink=desktopwebshare_permalink
67,People who can't picture anything are rewriting the science of imagination,211,giuliomagnifico,302,https://dailyneuron.com/aphantasia-mental-imagery-brain-network/
68,Linux from Scratch,370,sippingabonedry,110,https://www.linuxfromscratch.org/
69,Piezoelectric effect in polycrystalline diamond membranes,6,westurner,1,https://www.science.org/doi/10.1126/sciadv.aea8318
70,The k-server conjecture is true,104,iamsyr,35,https://arxiv.org/abs/2609.15979
71,"iOS 27, iPadOS 27, and macOS 27",702,throw0101d,843,https://www.apple.com/newsroom/2026/09/major-updates-for-apples-software-platforms-are-now-available/
72,Deep Seek v4.1 M5 Max at 17 tokens/s,3,Argonautlabs,0,https://github.com/argonautlabsai/argodrive
73,Show HN: Redis City – Explore how Redis works in an interactive 3D model,174,poltora,26,https://poltora.dev/redis
74,Dropping eBPF CPU Cost by About 90% with Memoization (Not AI Gen),152,nathannaveen,29,https://nathannaveen.dev/posts/dropping-ebpf-cpu-cost-by-90/
75,Data races and the limits of ThreadSanitizer in C and Go,38,matt_d,2,https://theconsensus.dev/p/2026/09/06/data-races-and-the-limits-of-threadsanitizer-in-c-and-go.html
76,Java 27 Has Released,3,birdculture,0,https://openjdk.org/projects/jdk/27/
77,XCancel service is suspended until further notice,752,gaganyaan,1025,https://xcancel.com/#
78,OrangePi Zero 3W Review: Tiny yet Powerful,42,ekianjo,3,https://boilingsteam.com/orange-pi-zero-3w-review-tiny-yet-powerful/
79,More people are seeking emergency care for gambling and it's mostly men and boys,8,rdmuser,1,https://www.cbc.ca/news/health/gambling-addiction-emergency-visits-9.7344691
80,Apple's Dimensional Drawings,413,herbertl,133,https://developer.apple.com/accessories/dimensional-drawings/
81,Photographs of Atlantic City Sand Sculpture (ca. 1880–1920),18,samclemens,1,https://publicdomainreview.org/collection/atlantic-city-sand-sculpture/
82,Inverse-Square Law,50,surprisetalk,16,https://blog.coredump.cx/p/inverse-square-law
83,"Fable 5.1 Solves the Cyphral Distich, a 370-year-old cipher",1210,u1hcw9nx,567,https://www.vals.ai/blogs/fable-solves-cyphral-distich
84,"Pion, an agent designed to run any company autonomously",483,lukaspetersson,600,https://andonlabs.com/blog/why-we-built-pion
85,"Dario, Please",630,0x5FC3,306,https://pop.rdi.sh/dario-please/
86,Backprop Alternative: Augmented Lagrangian Predictive Coding,122,guld,45,https://pub.sakana.ai/pc-alm/
87,Show HN: Panel – A research workspace where the agent can build its own panes,51,greentfrapp,19,https://github.com/greentfrapp/panel
88,There is NO realistic scenario where AI wipes out all of humanity,5,tosh,6,https://twitter.com/RichardSocher/status/2099889673153683766
89,Spaceships (Reverse Asteroid),381,zdw,69,https://spaceships.treybastian.com/
90,Steam Frame starts at $1059,730,bsimpson,629,https://store.steampowered.com/hardware/steamframe
